slug	scientific	common	reason
acanthis_cabaret	Acanthis cabaret	Lesser Redpoll	not in eBird taxonomy
acanthis_hornemanni	Acanthis hornemanni	Hoary Redpoll	not in eBird taxonomy
accipiter_badius	Accipiter badius	Shikra	not in eBird taxonomy
accipiter_bicolor	Accipiter bicolor	Bicolored Hawk	not in eBird taxonomy
accipiter_cirrocephalus	Accipiter cirrocephalus	Collared Sparrowhawk	not in eBird taxonomy
accipiter_cooperii	Accipiter cooperii	Cooper's Hawk	not in eBird taxonomy
accipiter_fasciatus	Accipiter fasciatus	Brown Goshawk	not in eBird taxonomy
accipiter_gentilis	Accipiter gentilis	Northern Goshawk	not in eBird taxonomy
accipiter_gularis	Accipiter gularis	Japanese Sparrowhawk	not in eBird taxonomy
accipiter_hiogaster	Accipiter hiogaster	Variable Goshawk	not in eBird taxonomy
accipiter_melanoleucus	Accipiter melanoleucus	Black Goshawk	not in eBird taxonomy
accipiter_minullus	Accipiter minullus	Little Sparrowhawk	not in eBird taxonomy
accipiter_soloensis	Accipiter soloensis	Chinese Sparrowhawk	not in eBird taxonomy
accipiter_superciliosus	Accipiter superciliosus	Tiny Hawk	not in eBird taxonomy
accipiter_tachiro	Accipiter tachiro	African Goshawk	not in eBird taxonomy
accipiter_trinotatus	Accipiter trinotatus	Spot-tailed Goshawk	not in eBird taxonomy
accipiter_trivirgatus	Accipiter trivirgatus	Crested Goshawk	not in eBird taxonomy
accipiter_virgatus	Accipiter virgatus	Besra	not in eBird taxonomy
accipiter_novaehollandiae	Accipiter novaehollandiae	Gray Goshawk	not in eBird taxonomy
acris_crepitans	Acris crepitans	Northern Cricket Frog	not in eBird taxonomy
acris_gryllus	Acris gryllus	Southern Cricket Frog	not in eBird taxonomy
acrocephalus_baeticatus	Acrocephalus baeticatus	African Reed Warbler	not in eBird taxonomy
allonemobius_allardi	Allonemobius allardi	Allard's Ground Cricket	not in eBird taxonomy
allonemobius_tinnulus	Allonemobius tinnulus	Tinkling Ground Cricket	not in eBird taxonomy
allonemobius_walkeri	Allonemobius walkeri	Walker's Ground Cricket	not in eBird taxonomy
alophoixus_finschii	Alophoixus finschii	Finsch's Bulbul	not in eBird taxonomy
alouatta_pigra	Alouatta pigra	Mexican Black Howler Monkey	not in eBird taxonomy
